feature_set,model,split,label,precision,recall,f1-score,support
v1_only,dummy_most_frequent,train,No,0.0,0.0,0.0,4160.0
v1_only,dummy_most_frequent,train,Yes,0.5391602968871164,1.0,0.7005901828127249,4867.0
v1_only,dummy_most_frequent,train,accuracy,0.5391602968871164,0.5391602968871164,0.5391602968871164,0.5391602968871164
v1_only,dummy_most_frequent,train,macro avg,0.2695801484435582,0.5,0.35029509140636245,9027.0
v1_only,dummy_most_frequent,train,weighted avg,0.2906938257394035,0.5391602968871164,0.37773041096150795,9027.0
v1_only,dummy_most_frequent,validation,No,0.0,0.0,0.0,777.0
v1_only,dummy_most_frequent,validation,Yes,0.5565068493150684,1.0,0.7150715071507151,975.0
v1_only,dummy_most_frequent,validation,accuracy,0.5565068493150684,0.5565068493150684,0.5565068493150684,0.5565068493150684
v1_only,dummy_most_frequent,validation,macro avg,0.2782534246575342,0.5,0.35753575357535755,1752.0
v1_only,dummy_most_frequent,validation,weighted avg,0.3096998733345843,0.5565068493150684,0.39794219147942195,1752.0
v1_only,dummy_most_frequent,test,No,0.0,0.0,0.0,781.0
v1_only,dummy_most_frequent,test,Yes,0.5534591194968553,1.0,0.7125506072874493,968.0
v1_only,dummy_most_frequent,test,accuracy,0.5534591194968553,0.5534591194968553,0.5534591194968553,0.5534591194968553
v1_only,dummy_most_frequent,test,macro avg,0.27672955974842767,0.5,0.3562753036437247,1749.0
v1_only,dummy_most_frequent,test,weighted avg,0.30631699695423437,0.5534591194968553,0.39436763170626127,1749.0
v1_only,logistic_regression,train,No,0.5800933125972006,0.4483173076923077,0.5057627118644068,4160.0
v1_only,logistic_regression,train,Yes,0.6051273227804542,0.7226217382371071,0.6586759059837063,4867.0
v1_only,logistic_regression,train,accuracy,0.5962113659022931,0.5962113659022931,0.5962113659022931,0.5962113659022931
v1_only,logistic_regression,train,macro avg,0.5926103176888274,0.5854695229647073,0.5822193089240566,9027.0
v1_only,logistic_regression,train,weighted avg,0.5935906569598787,0.5962113659022931,0.5882074350037255,9027.0
v1_only,logistic_regression,validation,No,0.4714064914992272,0.39253539253539255,0.42837078651685395,777.0
v1_only,logistic_regression,validation,Yes,0.5728506787330316,0.6492307692307693,0.6086538461538461,975.0
v1_only,logistic_regression,validation,accuracy,0.5353881278538812,0.5353881278538812,0.5353881278538812,0.5353881278538812
v1_only,logistic_regression,validation,macro avg,0.5221285851161295,0.5208830808830809,0.51851231633535,1752.0
v1_only,logistic_regression,validation,weighted avg,0.5278608765180396,0.5353881278538812,0.528699544020317,1752.0
v1_only,logistic_regression,test,No,0.48787446504992865,0.4379001280409731,0.46153846153846156,781.0
v1_only,logistic_regression,test,Yes,0.5811068702290076,0.6291322314049587,0.6041666666666666,968.0
v1_only,logistic_regression,test,accuracy,0.5437392795883362,0.5437392795883362,0.5437392795883362,0.5437392795883362
v1_only,logistic_regression,test,macro avg,0.5344906676394682,0.5335161797229659,0.5328525641025641,1749.0
v1_only,logistic_regression,test,weighted avg,0.5394747899289157,0.5437392795883362,0.5404773423641348,1749.0
v1_only,random_forest_reference,train,No,0.9557007988380537,0.9490384615384615,0.9523579785309372,4160.0
v1_only,random_forest_reference,train,Yes,0.9566993464052288,0.9623998356276967,0.9595411246543071,4867.0
v1_only,random_forest_reference,train,accuracy,0.9562423839592334,0.9562423839592334,0.9562423839592334,0.9562423839592334
v1_only,random_forest_reference,train,macro avg,0.9562000726216413,0.9557191485830792,0.9559495515926222,9027.0
v1_only,random_forest_reference,train,weighted avg,0.9562391760408279,0.9562423839592334,0.9562308457273969,9027.0
v1_only,random_forest_reference,validation,No,0.5064432989690721,0.5057915057915058,0.506117192530586,777.0
v1_only,random_forest_reference,validation,Yes,0.6065573770491803,0.6071794871794872,0.6068682726806766,975.0
v1_only,random_forest_reference,validation,accuracy,0.5622146118721462,0.5622146118721462,0.5622146118721462,0.5622146118721462
v1_only,random_forest_reference,validation,macro avg,0.5565003380091262,0.5564854964854965,0.5564927326056313,1752.0
v1_only,random_forest_reference,validation,weighted avg,0.5621574691335158,0.5622146118721462,0.5621858587100028,1752.0
v1_only,random_forest_reference,test,No,0.48148148148148145,0.4827144686299616,0.4820971867007673,781.0
v1_only,random_forest_reference,test,Yes,0.5817805383022774,0.5805785123966942,0.5811789038262668,968.0
v1_only,random_forest_reference,test,accuracy,0.5368782161234992,0.5368782161234992,0.5368782161234992,0.5368782161234992
v1_only,random_forest_reference,test,macro avg,0.5316310098918794,0.5316464905133279,0.531638045263517,1749.0
v1_only,random_forest_reference,test,weighted avg,0.5369929091558843,0.5368782161234992,0.5369348666192827,1749.0
v1_only,catboost_classifier,train,No,0.5975232198142415,0.2783653846153846,0.37979665464086587,4160.0
v1_only,catboost_classifier,train,Yes,0.5765270136831712,0.8397370043147729,0.6836734693877551,4867.0
v1_only,catboost_classifier,train,accuracy,0.5810346737565083,0.5810346737565083,0.5810346737565083,0.5810346737565083
v1_only,catboost_classifier,train,macro avg,0.5870251167487064,0.5590511944650788,0.5317350620143104,9027.0
v1_only,catboost_classifier,train,weighted avg,0.5862028990831105,0.5810346737565083,0.5436349682969099,9027.0
v1_only,catboost_classifier,validation,No,0.5352112676056338,0.24453024453024452,0.33568904593639576,777.0
v1_only,catboost_classifier,validation,Yes,0.5798138869005011,0.8307692307692308,0.6829679595278246,975.0
v1_only,catboost_classifier,validation,accuracy,0.5707762557077626,0.5707762557077626,0.5707762557077626,0.5707762557077626
v1_only,catboost_classifier,validation,macro avg,0.5575125772530674,0.5376497376497377,0.5093285027321102,1752.0
v1_only,catboost_classifier,validation,weighted avg,0.5600329307406199,0.5707762557077626,0.5289521399727218,1752.0
v1_only,catboost_classifier,test,No,0.44919786096256686,0.21510883482714468,0.2909090909090909,781.0
v1_only,catboost_classifier,test,Yes,0.5541818181818182,0.7871900826446281,0.6504481434058899,968.0
v1_only,catboost_classifier,test,accuracy,0.5317324185248714,0.5317324185248714,0.5317324185248714,0.5317324185248714
v1_only,catboost_classifier,test,macro avg,0.5016898395721925,0.5011494587358863,0.4706786171574904,1749.0
v1_only,catboost_classifier,test,weighted avg,0.5073021894864292,0.5317324185248714,0.48989925832870296,1749.0
v1_btts_related,dummy_most_frequent,train,No,0.0,0.0,0.0,4160.0
v1_btts_related,dummy_most_frequent,train,Yes,0.5391602968871164,1.0,0.7005901828127249,4867.0
v1_btts_related,dummy_most_frequent,train,accuracy,0.5391602968871164,0.5391602968871164,0.5391602968871164,0.5391602968871164
v1_btts_related,dummy_most_frequent,train,macro avg,0.2695801484435582,0.5,0.35029509140636245,9027.0
v1_btts_related,dummy_most_frequent,train,weighted avg,0.2906938257394035,0.5391602968871164,0.37773041096150795,9027.0
v1_btts_related,dummy_most_frequent,validation,No,0.0,0.0,0.0,777.0
v1_btts_related,dummy_most_frequent,validation,Yes,0.5565068493150684,1.0,0.7150715071507151,975.0
v1_btts_related,dummy_most_frequent,validation,accuracy,0.5565068493150684,0.5565068493150684,0.5565068493150684,0.5565068493150684
v1_btts_related,dummy_most_frequent,validation,macro avg,0.2782534246575342,0.5,0.35753575357535755,1752.0
v1_btts_related,dummy_most_frequent,validation,weighted avg,0.3096998733345843,0.5565068493150684,0.39794219147942195,1752.0
v1_btts_related,dummy_most_frequent,test,No,0.0,0.0,0.0,781.0
v1_btts_related,dummy_most_frequent,test,Yes,0.5534591194968553,1.0,0.7125506072874493,968.0
v1_btts_related,dummy_most_frequent,test,accuracy,0.5534591194968553,0.5534591194968553,0.5534591194968553,0.5534591194968553
v1_btts_related,dummy_most_frequent,test,macro avg,0.27672955974842767,0.5,0.3562753036437247,1749.0
v1_btts_related,dummy_most_frequent,test,weighted avg,0.30631699695423437,0.5534591194968553,0.39436763170626127,1749.0
v1_btts_related,logistic_regression,train,No,0.5809672386895476,0.44759615384615387,0.5056347589952478,4160.0
v1_btts_related,logistic_regression,train,Yes,0.6052902782548952,0.7240599958906924,0.6593694452240622,4867.0
v1_btts_related,logistic_regression,train,accuracy,0.5966544810014401,0.5966544810014401,0.5966544810014401,0.5966544810014401
v1_btts_related,logistic_regression,train,macro avg,0.5931287584722214,0.5858280748684231,0.582502102109655,9027.0
v1_btts_related,logistic_regression,train,weighted avg,0.5940812559227976,0.5966544810014401,0.588522398064223,9027.0
v1_btts_related,logistic_regression,validation,No,0.46307692307692305,0.38738738738738737,0.42186405045550107,777.0
v1_btts_related,logistic_regression,validation,Yes,0.5680580762250453,0.642051282051282,0.6027924891670678,975.0
v1_btts_related,logistic_regression,validation,accuracy,0.5291095890410958,0.5291095890410958,0.5291095890410958,0.5291095890410958
v1_btts_related,logistic_regression,validation,macro avg,0.5155674996509843,0.5147193347193347,0.5123282698112844,1752.0
v1_btts_related,logistic_regression,validation,weighted avg,0.5214996538528472,0.5291095890410958,0.5225519658343696,1752.0
v1_btts_related,logistic_regression,test,No,0.4777158774373259,0.43918053777208704,0.45763842561707807,781.0
v1_btts_related,logistic_regression,test,Yes,0.5751697381183317,0.612603305785124,0.5932966483241621,968.0
v1_btts_related,logistic_regression,test,accuracy,0.5351629502572899,0.5351629502572899,0.5351629502572899,0.5351629502572899
v1_btts_related,logistic_regression,test,macro avg,0.5264428077778288,0.5258919217786056,0.5254675369706201,1749.0
v1_btts_related,logistic_regression,test,weighted avg,0.5316526053614046,0.5351629502572899,0.5327197061090491,1749.0
v1_btts_related,random_forest_reference,train,No,0.9714008725157538,0.9634615384615385,0.9674149167270094,4160.0
v1_btts_related,random_forest_reference,train,Yes,0.9689859212405632,0.9757550852681324,0.9723587223587223,4867.0
v1_btts_related,random_forest_reference,train,accuracy,0.9700897308075773,0.9700897308075773,0.9700897308075773,0.9700897308075773
v1_btts_related,random_forest_reference,train,macro avg,0.9701933968781584,0.9696083118648354,0.9698868195428658,9027.0
v1_btts_related,random_forest_reference,train,weighted avg,0.9700988266692541,0.9700897308075773,0.970080420439156,9027.0
v1_btts_related,random_forest_reference,validation,No,0.5073041168658698,0.49163449163449163,0.4993464052287582,777.0
v1_btts_related,random_forest_reference,validation,Yes,0.6046046046046046,0.6194871794871795,0.6119554204660588,975.0
v1_btts_related,random_forest_reference,validation,accuracy,0.5627853881278538,0.5627853881278538,0.5627853881278538,0.5627853881278538
v1_btts_related,random_forest_reference,validation,macro avg,0.5559543607352373,0.5555608355608356,0.5556509128474085,1752.0
v1_btts_related,random_forest_reference,validation,weighted avg,0.5614525047341726,0.5627853881278538,0.5620140935029408,1752.0
v1_btts_related,random_forest_reference,test,No,0.48249027237354086,0.47631241997439183,0.4793814432989691,781.0
v1_btts_related,random_forest_reference,test,Yes,0.581799591002045,0.5878099173553719,0.5847893114080165,968.0
v1_btts_related,random_forest_reference,test,accuracy,0.538021726700972,0.538021726700972,0.538021726700972,0.538021726700972
v1_btts_related,random_forest_reference,test,macro avg,0.532144931687793,0.5320611686648818,0.5320853773534928,1749.0
v1_btts_related,random_forest_reference,test,weighted avg,0.5374539204195055,0.538021726700972,0.5377203891706431,1749.0
v1_btts_related,catboost_classifier,train,No,0.5527681660899654,0.3072115384615385,0.39493201483312734,4160.0
v1_btts_related,catboost_classifier,train,Yes,0.5708116157855547,0.7875487980275324,0.6618891383180798,4867.0
v1_btts_related,catboost_classifier,train,accuracy,0.5661903179350837,0.5661903179350837,0.5661903179350837,0.5661903179350837
v1_btts_related,catboost_classifier,train,macro avg,0.5617898909377601,0.5473801682445354,0.5284105765756035,9027.0
v1_btts_related,catboost_classifier,train,weighted avg,0.5624964777847071,0.5661903179350837,0.5388646967874049,9027.0
v1_btts_related,catboost_classifier,validation,No,0.5384615384615384,0.27927927927927926,0.3677966101694915,777.0
v1_btts_related,catboost_classifier,validation,Yes,0.5848776871756857,0.8092307692307692,0.6790017211703959,975.0
v1_btts_related,catboost_classifier,validation,accuracy,0.5742009132420092,0.5742009132420092,0.5742009132420092,0.5742009132420092
v1_btts_related,catboost_classifier,validation,macro avg,0.561669612818612,0.5442550242550243,0.5233991656699437,1752.0
v1_btts_related,catboost_classifier,validation,weighted avg,0.5642924431397882,0.5742009132420092,0.540984385983351,1752.0
v1_btts_related,catboost_classifier,test,No,0.44545454545454544,0.25096030729833546,0.32104832104832104,781.0
v1_btts_related,catboost_classifier,test,Yes,0.5530939648586708,0.7479338842975206,0.6359244620114185,968.0
v1_btts_related,catboost_classifier,test,accuracy,0.5260148656375071,0.5260148656375071,0.5260148656375071,0.5260148656375071
v1_btts_related,catboost_classifier,test,macro avg,0.4992742551566081,0.499447095797928,0.47848639152986977,1749.0
v1_btts_related,catboost_classifier,test,weighted avg,0.5050285637411054,0.5260148656375071,0.49531939277632464,1749.0
