split,row_id,true_score,pred_score,final_score,direct_outcome,final_outcome,direct_btts,final_btts,direct_over25,final_over25,over25_corrected,score_correction_distance,applied_constraints,relaxed_constraints,conflict_pattern
train,2,2:1,2:1,2:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,3,0:1,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,5,1:2,2:1,2:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,6,3:1,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,7,3:4,2:1,1:2,A,A,1,1,0,1,True,2,outcome_btts,over25,outcome:A!=H|over25:0!=1
train,10,0:3,1:2,0:2,A,A,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,11,0:2,1:2,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=A|over25:0!=1
train,12,2:0,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,13,2:2,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,16,0:2,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,17,4:0,3:1,3:0,H,H,0,0,1,1,False,1,outcome_btts_over25,none,btts:0!=1
train,19,0:0,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,20,1:0,1:2,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=A
train,24,1:2,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,25,1:1,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,26,3:0,3:1,3:0,H,H,0,0,1,1,False,1,outcome_btts_over25,none,btts:0!=1
train,27,1:2,1:2,2:1,H,H,1,1,1,1,False,2,outcome_btts_over25,none,outcome:H!=A
train,28,2:3,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,29,1:0,2:1,2:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,30,1:3,0:3,1:3,A,A,1,1,1,1,False,1,outcome_btts_over25,none,btts:1!=0
train,31,0:0,1:2,0:2,A,A,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,33,1:2,1:2,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=A|over25:0!=1
train,35,3:1,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,36,2:0,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,38,3:2,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,39,2:0,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,40,2:2,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,41,1:4,1:2,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=A
train,42,2:0,2:0,3:0,H,H,0,0,1,1,False,1,outcome_btts_over25,none,over25:1!=0
train,44,0:1,1:2,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=A
train,47,0:1,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,49,1:1,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,52,1:3,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,53,3:2,1:2,0:2,A,A,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,54,0:2,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,55,4:0,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,56,2:1,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,58,2:2,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,59,2:0,1:0,0:0,D,D,0,0,0,0,False,1,outcome_btts_over25,none,outcome:D!=H
train,63,0:1,1:3,0:3,A,A,0,0,1,1,False,1,outcome_btts_over25,none,btts:0!=1
train,65,0:0,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,67,2:0,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,68,1:0,1:1,2:2,D,D,1,1,1,1,False,2,outcome_btts_over25,none,over25:1!=0
train,70,0:4,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,71,1:1,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,73,0:0,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,74,1:2,1:2,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=A|over25:0!=1
train,75,1:2,1:1,2:1,H,H,1,1,0,1,True,1,outcome_btts,over25,outcome:H!=D
train,76,1:1,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,77,1:0,2:1,0:0,D,D,0,0,0,0,False,3,outcome_btts_over25,none,outcome:D!=H|btts:0!=1|over25:0!=1
train,79,1:1,2:1,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=H
train,80,0:2,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,82,2:2,2:1,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=H
train,83,1:0,3:1,3:0,H,H,0,0,1,1,False,1,outcome_btts_over25,none,btts:0!=1
train,84,2:1,2:1,0:0,D,D,0,0,0,0,False,3,outcome_btts_over25,none,outcome:D!=H|btts:0!=1|over25:0!=1
train,86,0:0,1:1,3:0,H,H,0,0,1,1,False,3,outcome_btts_over25,none,outcome:H!=D|btts:0!=1|over25:1!=0
train,89,1:0,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,90,1:0,1:2,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=A|over25:0!=1
train,91,2:2,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,92,6:1,2:1,0:0,D,D,0,0,1,0,True,3,outcome_btts,over25,outcome:D!=H|btts:0!=1
train,93,0:0,1:2,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=A|over25:0!=1
train,98,2:1,1:2,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=A|over25:0!=1
train,100,4:2,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,101,1:0,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,103,0:3,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,108,0:0,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,109,2:1,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,110,0:1,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,111,0:0,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,112,2:1,2:1,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=H
train,114,4:1,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,116,1:2,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,119,0:1,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,122,0:2,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,123,0:1,1:1,2:2,D,D,1,1,1,1,False,2,outcome_btts_over25,none,over25:1!=0
train,125,1:2,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,126,1:1,2:1,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=H
train,127,2:1,3:1,3:0,H,H,0,0,1,1,False,1,outcome_btts_over25,none,btts:0!=1
train,129,1:3,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,130,1:1,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,131,1:2,2:1,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=H
train,132,2:0,3:1,3:0,H,H,0,0,1,1,False,1,outcome_btts_over25,none,btts:0!=1
train,133,0:2,2:1,2:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,134,1:1,2:1,2:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,136,1:0,2:1,3:0,H,H,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,137,1:0,1:1,2:2,D,D,1,1,1,1,False,2,outcome_btts_over25,none,over25:1!=0
train,141,5:3,2:1,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=H|over25:0!=1
train,142,3:0,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,143,2:2,1:2,2:2,D,D,1,1,1,1,False,1,outcome_btts_over25,none,outcome:D!=A
train,150,2:3,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,151,0:2,1:1,0:1,A,A,0,0,0,0,False,1,outcome_btts_over25,none,outcome:A!=D|btts:0!=1
train,152,0:2,1:1,1:0,H,H,0,0,0,0,False,1,outcome_btts_over25,none,outcome:H!=D|btts:0!=1
train,154,0:0,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,155,4:0,3:1,3:0,H,H,0,0,1,1,False,1,outcome_btts_over25,none,btts:0!=1
train,156,0:1,1:1,0:0,D,D,0,0,1,0,True,2,outcome_btts,over25,btts:0!=1|over25:1!=0
train,160,1:2,1:2,0:3,A,A,0,0,1,1,False,2,outcome_btts_over25,none,btts:0!=1
train,165,0:5,1:2,0:2,A,A,0,0,0,0,False,1,outcome_btts_over25,none,btts:0!=1|over25:0!=1
train,166,1:1,1:1,1:2,A,A,1,1,1,1,False,1,outcome_btts_over25,none,outcome:A!=D|over25:1!=0
train,168,1:3,1:1,0:0,D,D,0,0,0,0,False,2,outcome_btts_over25,none,btts:0!=1
train,170,2:3,1:2,1:1,D,D,1,1,0,0,False,1,outcome_btts_over25,none,outcome:D!=A|over25:0!=1
