split,pred_score,final_score,applied_constraints,relaxed_constraints,count
test,2:1,3:0,outcome_btts_over25,none,162
test,1:1,0:0,outcome_btts_over25,none,123
test,2:1,2:0,outcome_btts_over25,none,85
test,1:2,0:3,outcome_btts_over25,none,70
test,1:1,1:0,outcome_btts_over25,none,68
test,2:1,2:2,outcome_btts_over25,none,68
test,1:1,2:2,outcome_btts_over25,none,65
test,1:2,2:2,outcome_btts_over25,none,44
test,3:1,3:0,outcome_btts_over25,none,32
test,2:1,1:1,outcome_btts_over25,none,30
test,2:2,1:2,outcome_btts_over25,none,27
test,1:1,0:1,outcome_btts_over25,none,24
test,1:1,2:1,outcome_btts,over25,23
test,1:2,1:1,outcome_btts_over25,none,22
test,1:2,0:2,outcome_btts_over25,none,19
test,1:1,2:1,outcome_btts_over25,none,18
test,1:1,3:0,outcome_btts_over25,none,15
test,2:0,3:0,outcome_btts_over25,none,15
test,1:1,1:2,outcome_btts_over25,none,14
test,2:2,2:1,outcome_btts_over25,none,14
test,1:1,0:0,outcome_btts,over25,13
test,1:1,0:3,outcome_btts_over25,none,12
test,1:1,1:2,outcome_btts,over25,9
test,2:1,0:0,outcome_btts_over25,none,9
test,2:1,0:0,outcome_btts,over25,8
test,2:1,0:3,outcome_btts_over25,none,5
test,1:2,0:0,outcome_btts_over25,none,4
test,2:1,1:2,outcome_btts_over25,none,3
test,0:2,0:3,outcome_btts_over25,none,2
test,1:2,2:1,outcome_btts_over25,none,2
test,2:2,0:3,outcome_btts_over25,none,2
test,0:1,0:0,outcome_btts_over25,none,1
test,1:2,0:0,outcome_btts,over25,1
test,1:2,1:0,outcome_btts_over25,none,1
test,1:2,3:0,outcome_btts_over25,none,1
test,1:3,0:3,outcome_btts_over25,none,1
test,2:0,0:0,outcome_btts_over25,none,1
test,2:1,0:1,outcome_btts_over25,none,1
test,2:2,2:1,outcome_btts,over25,1
train,1:1,0:0,outcome_btts_over25,none,767
train,2:1,3:0,outcome_btts_over25,none,548
train,2:1,2:0,outcome_btts_over25,none,367
train,2:1,2:2,outcome_btts_over25,none,357
train,1:2,0:3,outcome_btts_over25,none,281
train,1:1,1:0,outcome_btts_over25,none,268
train,1:1,2:2,outcome_btts_over25,none,263
train,2:1,1:1,outcome_btts_over25,none,240
train,1:2,2:2,outcome_btts_over25,none,225
train,3:1,3:0,outcome_btts_over25,none,175
train,1:2,1:1,outcome_btts_over25,none,146
train,1:1,0:1,outcome_btts_over25,none,142
train,1:1,2:1,outcome_btts,over25,128
train,1:2,0:2,outcome_btts_over25,none,107
train,1:1,1:2,outcome_btts,over25,90
train,2:2,1:2,outcome_btts_over25,none,81
train,1:1,2:1,outcome_btts_over25,none,65
train,2:0,3:0,outcome_btts_over25,none,65
train,2:2,2:1,outcome_btts_over25,none,60
train,1:1,1:2,outcome_btts_over25,none,59
train,1:1,3:0,outcome_btts_over25,none,57
train,1:1,0:0,outcome_btts,over25,49
train,2:1,0:0,outcome_btts_over25,none,48
train,1:1,0:3,outcome_btts_over25,none,44
train,1:2,0:0,outcome_btts_over25,none,32
train,0:2,0:3,outcome_btts_over25,none,26
train,1:3,0:3,outcome_btts_over25,none,22
train,2:1,1:2,outcome_btts_over25,none,22
train,1:2,2:1,outcome_btts_over25,none,19
train,2:1,0:0,outcome_btts,over25,16
train,1:2,0:0,outcome_btts,over25,15
train,4:1,4:0,outcome_btts_over25,none,8
train,2:1,1:2,outcome_btts,over25,7
train,2:2,1:1,outcome_btts_over25,none,7
train,2:2,2:1,outcome_btts,over25,6
train,3:0,3:1,outcome_btts_over25,none,5
train,0:2,1:2,outcome_btts,over25,4
train,1:0,0:0,outcome_btts_over25,none,4
train,2:0,2:1,outcome_btts_over25,none,4
train,0:2,0:0,outcome_btts_over25,none,3
train,0:3,1:3,outcome_btts_over25,none,3
train,2:0,0:0,outcome_btts_over25,none,3
train,0:3,0:2,outcome_btts_over25,none,2
train,1:2,3:0,outcome_btts_over25,none,2
train,2:0,2:1,outcome_btts,over25,2
train,2:0,2:2,outcome_btts_over25,none,2
train,2:1,0:1,outcome_btts_over25,none,2
train,2:1,0:3,outcome_btts_over25,none,2
train,3:0,2:0,outcome_btts_over25,none,2
train,0:1,0:0,outcome_btts_over25,none,1
train,0:1,1:2,outcome_btts,over25,1
train,0:2,1:1,outcome_btts_over25,none,1
train,0:2,1:2,outcome_btts_over25,none,1
train,0:3,1:3,outcome_btts,over25,1
train,1:0,3:0,outcome_btts_over25,none,1
train,1:2,2:1,outcome_btts,over25,1
train,2:0,1:2,outcome_btts_over25,none,1
train,2:2,0:2,outcome_btts_over25,none,1
train,2:2,1:2,outcome_btts,over25,1
train,2:2,3:0,outcome_btts_over25,none,1
train,4:0,4:1,outcome_btts_over25,none,1
validation,2:1,3:0,outcome_btts_over25,none,140
validation,1:1,0:0,outcome_btts_over25,none,98
validation,2:1,2:0,outcome_btts_over25,none,86
validation,1:1,1:0,outcome_btts_over25,none,65
validation,2:1,2:2,outcome_btts_over25,none,64
validation,1:2,0:3,outcome_btts_over25,none,58
validation,1:1,2:2,outcome_btts_over25,none,48
validation,2:1,1:1,outcome_btts_over25,none,45
validation,1:2,2:2,outcome_btts_over25,none,44
validation,3:1,3:0,outcome_btts_over25,none,26
validation,1:1,2:1,outcome_btts,over25,24
validation,1:2,1:1,outcome_btts_over25,none,24
validation,1:1,3:0,outcome_btts_over25,none,23
validation,1:1,0:0,outcome_btts,over25,21
validation,1:1,0:1,outcome_btts_over25,none,20
validation,2:2,2:1,outcome_btts_over25,none,20
validation,1:1,1:2,outcome_btts,over25,19
validation,2:0,3:0,outcome_btts_over25,none,19
validation,1:1,0:3,outcome_btts_over25,none,18
validation,2:2,1:2,outcome_btts_over25,none,18
validation,1:2,0:2,outcome_btts_over25,none,14
validation,1:1,1:2,outcome_btts_over25,none,13
validation,2:1,0:0,outcome_btts_over25,none,10
validation,1:1,2:1,outcome_btts_over25,none,9
validation,1:2,0:0,outcome_btts_over25,none,7
validation,2:1,0:0,outcome_btts,over25,7
validation,2:1,1:2,outcome_btts_over25,none,4
validation,1:3,0:3,outcome_btts_over25,none,3
validation,0:2,1:1,outcome_btts_over25,none,2
validation,0:3,1:3,outcome_btts_over25,none,2
validation,1:2,0:0,outcome_btts,over25,2
validation,2:0,0:0,outcome_btts_over25,none,2
validation,2:0,2:1,outcome_btts,over25,2
validation,4:1,4:0,outcome_btts_over25,none,2
validation,0:2,1:2,outcome_btts,over25,1
validation,1:2,2:1,outcome_btts,over25,1
validation,1:2,2:1,outcome_btts_over25,none,1
validation,2:0,1:1,outcome_btts_over25,none,1
validation,2:1,1:2,outcome_btts,over25,1
validation,2:2,0:3,outcome_btts_over25,none,1
validation,2:2,1:1,outcome_btts_over25,none,1
