feature_set,model,split,true_label,predicted_label,count
v1_only,dummy_most_frequent,train,H,H,3921
v1_only,dummy_most_frequent,train,H,D,0
v1_only,dummy_most_frequent,train,H,A,0
v1_only,dummy_most_frequent,train,D,H,2271
v1_only,dummy_most_frequent,train,D,D,0
v1_only,dummy_most_frequent,train,D,A,0
v1_only,dummy_most_frequent,train,A,H,2835
v1_only,dummy_most_frequent,train,A,D,0
v1_only,dummy_most_frequent,train,A,A,0
v1_only,dummy_most_frequent,validation,H,H,755
v1_only,dummy_most_frequent,validation,H,D,0
v1_only,dummy_most_frequent,validation,H,A,0
v1_only,dummy_most_frequent,validation,D,H,463
v1_only,dummy_most_frequent,validation,D,D,0
v1_only,dummy_most_frequent,validation,D,A,0
v1_only,dummy_most_frequent,validation,A,H,534
v1_only,dummy_most_frequent,validation,A,D,0
v1_only,dummy_most_frequent,validation,A,A,0
v1_only,dummy_most_frequent,test,H,H,735
v1_only,dummy_most_frequent,test,H,D,0
v1_only,dummy_most_frequent,test,H,A,0
v1_only,dummy_most_frequent,test,D,H,438
v1_only,dummy_most_frequent,test,D,D,0
v1_only,dummy_most_frequent,test,D,A,0
v1_only,dummy_most_frequent,test,A,H,576
v1_only,dummy_most_frequent,test,A,D,0
v1_only,dummy_most_frequent,test,A,A,0
v1_only,logistic_regression,train,H,H,2228
v1_only,logistic_regression,train,H,D,986
v1_only,logistic_regression,train,H,A,707
v1_only,logistic_regression,train,D,H,632
v1_only,logistic_regression,train,D,D,993
v1_only,logistic_regression,train,D,A,646
v1_only,logistic_regression,train,A,H,514
v1_only,logistic_regression,train,A,D,686
v1_only,logistic_regression,train,A,A,1635
v1_only,logistic_regression,validation,H,H,462
v1_only,logistic_regression,validation,H,D,164
v1_only,logistic_regression,validation,H,A,129
v1_only,logistic_regression,validation,D,H,181
v1_only,logistic_regression,validation,D,D,144
v1_only,logistic_regression,validation,D,A,138
v1_only,logistic_regression,validation,A,H,104
v1_only,logistic_regression,validation,A,D,143
v1_only,logistic_regression,validation,A,A,287
v1_only,logistic_regression,test,H,H,438
v1_only,logistic_regression,test,H,D,165
v1_only,logistic_regression,test,H,A,132
v1_only,logistic_regression,test,D,H,159
v1_only,logistic_regression,test,D,D,141
v1_only,logistic_regression,test,D,A,138
v1_only,logistic_regression,test,A,H,135
v1_only,logistic_regression,test,A,D,134
v1_only,logistic_regression,test,A,A,307
v1_only,random_forest_reference,train,H,H,3220
v1_only,random_forest_reference,train,H,D,128
v1_only,random_forest_reference,train,H,A,573
v1_only,random_forest_reference,train,D,H,276
v1_only,random_forest_reference,train,D,D,1771
v1_only,random_forest_reference,train,D,A,224
v1_only,random_forest_reference,train,A,H,450
v1_only,random_forest_reference,train,A,D,49
v1_only,random_forest_reference,train,A,A,2336
v1_only,random_forest_reference,validation,H,H,523
v1_only,random_forest_reference,validation,H,D,75
v1_only,random_forest_reference,validation,H,A,157
v1_only,random_forest_reference,validation,D,H,210
v1_only,random_forest_reference,validation,D,D,85
v1_only,random_forest_reference,validation,D,A,168
v1_only,random_forest_reference,validation,A,H,136
v1_only,random_forest_reference,validation,A,D,66
v1_only,random_forest_reference,validation,A,A,332
v1_only,random_forest_reference,test,H,H,514
v1_only,random_forest_reference,test,H,D,89
v1_only,random_forest_reference,test,H,A,132
v1_only,random_forest_reference,test,D,H,207
v1_only,random_forest_reference,test,D,D,78
v1_only,random_forest_reference,test,D,A,153
v1_only,random_forest_reference,test,A,H,158
v1_only,random_forest_reference,test,A,D,89
v1_only,random_forest_reference,test,A,A,329
v1_only,catboost_classifier,train,H,H,3196
v1_only,catboost_classifier,train,H,D,69
v1_only,catboost_classifier,train,H,A,656
v1_only,catboost_classifier,train,D,H,1290
v1_only,catboost_classifier,train,D,D,260
v1_only,catboost_classifier,train,D,A,721
v1_only,catboost_classifier,train,A,H,1058
v1_only,catboost_classifier,train,A,D,63
v1_only,catboost_classifier,train,A,A,1714
v1_only,catboost_classifier,validation,H,H,634
v1_only,catboost_classifier,validation,H,D,4
v1_only,catboost_classifier,validation,H,A,117
v1_only,catboost_classifier,validation,D,H,305
v1_only,catboost_classifier,validation,D,D,7
v1_only,catboost_classifier,validation,D,A,151
v1_only,catboost_classifier,validation,A,H,205
v1_only,catboost_classifier,validation,A,D,5
v1_only,catboost_classifier,validation,A,A,324
v1_only,catboost_classifier,test,H,H,612
v1_only,catboost_classifier,test,H,D,9
v1_only,catboost_classifier,test,H,A,114
v1_only,catboost_classifier,test,D,H,281
v1_only,catboost_classifier,test,D,D,11
v1_only,catboost_classifier,test,D,A,146
v1_only,catboost_classifier,test,A,H,249
v1_only,catboost_classifier,test,A,D,14
v1_only,catboost_classifier,test,A,A,313
v1_btts_over,logistic_regression,train,H,H,2239
v1_btts_over,logistic_regression,train,H,D,975
v1_btts_over,logistic_regression,train,H,A,707
v1_btts_over,logistic_regression,train,D,H,637
v1_btts_over,logistic_regression,train,D,D,995
v1_btts_over,logistic_regression,train,D,A,639
v1_btts_over,logistic_regression,train,A,H,509
v1_btts_over,logistic_regression,train,A,D,686
v1_btts_over,logistic_regression,train,A,A,1640
v1_btts_over,logistic_regression,validation,H,H,458
v1_btts_over,logistic_regression,validation,H,D,166
v1_btts_over,logistic_regression,validation,H,A,131
v1_btts_over,logistic_regression,validation,D,H,184
v1_btts_over,logistic_regression,validation,D,D,143
v1_btts_over,logistic_regression,validation,D,A,136
v1_btts_over,logistic_regression,validation,A,H,105
v1_btts_over,logistic_regression,validation,A,D,138
v1_btts_over,logistic_regression,validation,A,A,291
v1_btts_over,logistic_regression,test,H,H,437
v1_btts_over,logistic_regression,test,H,D,167
v1_btts_over,logistic_regression,test,H,A,131
v1_btts_over,logistic_regression,test,D,H,161
v1_btts_over,logistic_regression,test,D,D,135
v1_btts_over,logistic_regression,test,D,A,142
v1_btts_over,logistic_regression,test,A,H,136
v1_btts_over,logistic_regression,test,A,D,135
v1_btts_over,logistic_regression,test,A,A,305
v1_btts_over,random_forest_reference,train,H,H,3253
v1_btts_over,random_forest_reference,train,H,D,114
v1_btts_over,random_forest_reference,train,H,A,554
v1_btts_over,random_forest_reference,train,D,H,243
v1_btts_over,random_forest_reference,train,D,D,1840
v1_btts_over,random_forest_reference,train,D,A,188
v1_btts_over,random_forest_reference,train,A,H,413
v1_btts_over,random_forest_reference,train,A,D,39
v1_btts_over,random_forest_reference,train,A,A,2383
v1_btts_over,random_forest_reference,validation,H,H,534
v1_btts_over,random_forest_reference,validation,H,D,65
v1_btts_over,random_forest_reference,validation,H,A,156
v1_btts_over,random_forest_reference,validation,D,H,211
v1_btts_over,random_forest_reference,validation,D,D,86
v1_btts_over,random_forest_reference,validation,D,A,166
v1_btts_over,random_forest_reference,validation,A,H,140
v1_btts_over,random_forest_reference,validation,A,D,63
v1_btts_over,random_forest_reference,validation,A,A,331
v1_btts_over,random_forest_reference,test,H,H,518
v1_btts_over,random_forest_reference,test,H,D,84
v1_btts_over,random_forest_reference,test,H,A,133
v1_btts_over,random_forest_reference,test,D,H,209
v1_btts_over,random_forest_reference,test,D,D,79
v1_btts_over,random_forest_reference,test,D,A,150
v1_btts_over,random_forest_reference,test,A,H,165
v1_btts_over,random_forest_reference,test,A,D,72
v1_btts_over,random_forest_reference,test,A,A,339
v1_btts_over,catboost_classifier,train,H,H,3165
v1_btts_over,catboost_classifier,train,H,D,61
v1_btts_over,catboost_classifier,train,H,A,695
v1_btts_over,catboost_classifier,train,D,H,1303
v1_btts_over,catboost_classifier,train,D,D,214
v1_btts_over,catboost_classifier,train,D,A,754
v1_btts_over,catboost_classifier,train,A,H,1059
v1_btts_over,catboost_classifier,train,A,D,52
v1_btts_over,catboost_classifier,train,A,A,1724
v1_btts_over,catboost_classifier,validation,H,H,629
v1_btts_over,catboost_classifier,validation,H,D,7
v1_btts_over,catboost_classifier,validation,H,A,119
v1_btts_over,catboost_classifier,validation,D,H,301
v1_btts_over,catboost_classifier,validation,D,D,6
v1_btts_over,catboost_classifier,validation,D,A,156
v1_btts_over,catboost_classifier,validation,A,H,201
v1_btts_over,catboost_classifier,validation,A,D,8
v1_btts_over,catboost_classifier,validation,A,A,325
v1_btts_over,catboost_classifier,test,H,H,609
v1_btts_over,catboost_classifier,test,H,D,9
v1_btts_over,catboost_classifier,test,H,A,117
v1_btts_over,catboost_classifier,test,D,H,289
v1_btts_over,catboost_classifier,test,D,D,9
v1_btts_over,catboost_classifier,test,D,A,140
v1_btts_over,catboost_classifier,test,A,H,248
v1_btts_over,catboost_classifier,test,A,D,14
v1_btts_over,catboost_classifier,test,A,A,314
v1_corners_yellow,logistic_regression,train,H,H,2259
v1_corners_yellow,logistic_regression,train,H,D,956
v1_corners_yellow,logistic_regression,train,H,A,706
v1_corners_yellow,logistic_regression,train,D,H,638
v1_corners_yellow,logistic_regression,train,D,D,993
v1_corners_yellow,logistic_regression,train,D,A,640
v1_corners_yellow,logistic_regression,train,A,H,502
v1_corners_yellow,logistic_regression,train,A,D,690
v1_corners_yellow,logistic_regression,train,A,A,1643
v1_corners_yellow,logistic_regression,validation,H,H,453
v1_corners_yellow,logistic_regression,validation,H,D,174
v1_corners_yellow,logistic_regression,validation,H,A,128
v1_corners_yellow,logistic_regression,validation,D,H,186
v1_corners_yellow,logistic_regression,validation,D,D,140
v1_corners_yellow,logistic_regression,validation,D,A,137
v1_corners_yellow,logistic_regression,validation,A,H,111
v1_corners_yellow,logistic_regression,validation,A,D,141
v1_corners_yellow,logistic_regression,validation,A,A,282
v1_corners_yellow,logistic_regression,test,H,H,442
v1_corners_yellow,logistic_regression,test,H,D,163
v1_corners_yellow,logistic_regression,test,H,A,130
v1_corners_yellow,logistic_regression,test,D,H,176
v1_corners_yellow,logistic_regression,test,D,D,125
v1_corners_yellow,logistic_regression,test,D,A,137
v1_corners_yellow,logistic_regression,test,A,H,128
v1_corners_yellow,logistic_regression,test,A,D,137
v1_corners_yellow,logistic_regression,test,A,A,311
v1_corners_yellow,random_forest_reference,train,H,H,3359
v1_corners_yellow,random_forest_reference,train,H,D,55
v1_corners_yellow,random_forest_reference,train,H,A,507
v1_corners_yellow,random_forest_reference,train,D,H,212
v1_corners_yellow,random_forest_reference,train,D,D,1904
v1_corners_yellow,random_forest_reference,train,D,A,155
v1_corners_yellow,random_forest_reference,train,A,H,368
v1_corners_yellow,random_forest_reference,train,A,D,5
v1_corners_yellow,random_forest_reference,train,A,A,2462
v1_corners_yellow,random_forest_reference,validation,H,H,532
v1_corners_yellow,random_forest_reference,validation,H,D,73
v1_corners_yellow,random_forest_reference,validation,H,A,150
v1_corners_yellow,random_forest_reference,validation,D,H,233
v1_corners_yellow,random_forest_reference,validation,D,D,66
v1_corners_yellow,random_forest_reference,validation,D,A,164
v1_corners_yellow,random_forest_reference,validation,A,H,137
v1_corners_yellow,random_forest_reference,validation,A,D,69
v1_corners_yellow,random_forest_reference,validation,A,A,328
v1_corners_yellow,random_forest_reference,test,H,H,522
v1_corners_yellow,random_forest_reference,test,H,D,76
v1_corners_yellow,random_forest_reference,test,H,A,137
v1_corners_yellow,random_forest_reference,test,D,H,221
v1_corners_yellow,random_forest_reference,test,D,D,69
v1_corners_yellow,random_forest_reference,test,D,A,148
v1_corners_yellow,random_forest_reference,test,A,H,164
v1_corners_yellow,random_forest_reference,test,A,D,78
v1_corners_yellow,random_forest_reference,test,A,A,334
v1_corners_yellow,catboost_classifier,train,H,H,3208
v1_corners_yellow,catboost_classifier,train,H,D,68
v1_corners_yellow,catboost_classifier,train,H,A,645
v1_corners_yellow,catboost_classifier,train,D,H,1264
v1_corners_yellow,catboost_classifier,train,D,D,287
v1_corners_yellow,catboost_classifier,train,D,A,720
v1_corners_yellow,catboost_classifier,train,A,H,1015
v1_corners_yellow,catboost_classifier,train,A,D,62
v1_corners_yellow,catboost_classifier,train,A,A,1758
v1_corners_yellow,catboost_classifier,validation,H,H,623
v1_corners_yellow,catboost_classifier,validation,H,D,11
v1_corners_yellow,catboost_classifier,validation,H,A,121
v1_corners_yellow,catboost_classifier,validation,D,H,298
v1_corners_yellow,catboost_classifier,validation,D,D,15
v1_corners_yellow,catboost_classifier,validation,D,A,150
v1_corners_yellow,catboost_classifier,validation,A,H,198
v1_corners_yellow,catboost_classifier,validation,A,D,8
v1_corners_yellow,catboost_classifier,validation,A,A,328
v1_corners_yellow,catboost_classifier,test,H,H,602
v1_corners_yellow,catboost_classifier,test,H,D,12
v1_corners_yellow,catboost_classifier,test,H,A,121
v1_corners_yellow,catboost_classifier,test,D,H,277
v1_corners_yellow,catboost_classifier,test,D,D,13
v1_corners_yellow,catboost_classifier,test,D,A,148
v1_corners_yellow,catboost_classifier,test,A,H,243
v1_corners_yellow,catboost_classifier,test,A,D,25
v1_corners_yellow,catboost_classifier,test,A,A,308
full_v2,logistic_regression,train,H,H,2252
full_v2,logistic_regression,train,H,D,952
full_v2,logistic_regression,train,H,A,717
full_v2,logistic_regression,train,D,H,639
full_v2,logistic_regression,train,D,D,997
full_v2,logistic_regression,train,D,A,635
full_v2,logistic_regression,train,A,H,503
full_v2,logistic_regression,train,A,D,689
full_v2,logistic_regression,train,A,A,1643
full_v2,logistic_regression,validation,H,H,450
full_v2,logistic_regression,validation,H,D,173
full_v2,logistic_regression,validation,H,A,132
full_v2,logistic_regression,validation,D,H,172
full_v2,logistic_regression,validation,D,D,153
full_v2,logistic_regression,validation,D,A,138
full_v2,logistic_regression,validation,A,H,105
full_v2,logistic_regression,validation,A,D,146
full_v2,logistic_regression,validation,A,A,283
full_v2,logistic_regression,test,H,H,448
full_v2,logistic_regression,test,H,D,164
full_v2,logistic_regression,test,H,A,123
full_v2,logistic_regression,test,D,H,171
full_v2,logistic_regression,test,D,D,133
full_v2,logistic_regression,test,D,A,134
full_v2,logistic_regression,test,A,H,130
full_v2,logistic_regression,test,A,D,146
full_v2,logistic_regression,test,A,A,300
full_v2,random_forest_reference,train,H,H,3464
full_v2,random_forest_reference,train,H,D,20
full_v2,random_forest_reference,train,H,A,437
full_v2,random_forest_reference,train,D,H,177
full_v2,random_forest_reference,train,D,D,1984
full_v2,random_forest_reference,train,D,A,110
full_v2,random_forest_reference,train,A,H,298
full_v2,random_forest_reference,train,A,D,1
full_v2,random_forest_reference,train,A,A,2536
full_v2,random_forest_reference,validation,H,H,531
full_v2,random_forest_reference,validation,H,D,65
full_v2,random_forest_reference,validation,H,A,159
full_v2,random_forest_reference,validation,D,H,224
full_v2,random_forest_reference,validation,D,D,67
full_v2,random_forest_reference,validation,D,A,172
full_v2,random_forest_reference,validation,A,H,145
full_v2,random_forest_reference,validation,A,D,55
full_v2,random_forest_reference,validation,A,A,334
full_v2,random_forest_reference,test,H,H,516
full_v2,random_forest_reference,test,H,D,75
full_v2,random_forest_reference,test,H,A,144
full_v2,random_forest_reference,test,D,H,212
full_v2,random_forest_reference,test,D,D,66
full_v2,random_forest_reference,test,D,A,160
full_v2,random_forest_reference,test,A,H,164
full_v2,random_forest_reference,test,A,D,65
full_v2,random_forest_reference,test,A,A,347
full_v2,catboost_classifier,train,H,H,3260
full_v2,catboost_classifier,train,H,D,42
full_v2,catboost_classifier,train,H,A,619
full_v2,catboost_classifier,train,D,H,1260
full_v2,catboost_classifier,train,D,D,329
full_v2,catboost_classifier,train,D,A,682
full_v2,catboost_classifier,train,A,H,1005
full_v2,catboost_classifier,train,A,D,59
full_v2,catboost_classifier,train,A,A,1771
full_v2,catboost_classifier,validation,H,H,623
full_v2,catboost_classifier,validation,H,D,17
full_v2,catboost_classifier,validation,H,A,115
full_v2,catboost_classifier,validation,D,H,300
full_v2,catboost_classifier,validation,D,D,14
full_v2,catboost_classifier,validation,D,A,149
full_v2,catboost_classifier,validation,A,H,201
full_v2,catboost_classifier,validation,A,D,11
full_v2,catboost_classifier,validation,A,A,322
full_v2,catboost_classifier,test,H,H,605
full_v2,catboost_classifier,test,H,D,11
full_v2,catboost_classifier,test,H,A,119
full_v2,catboost_classifier,test,D,H,279
full_v2,catboost_classifier,test,D,D,11
full_v2,catboost_classifier,test,D,A,148
full_v2,catboost_classifier,test,A,H,242
full_v2,catboost_classifier,test,A,D,20
full_v2,catboost_classifier,test,A,A,314
